lecture,lecture_index,mean_concept_jaccard,n_pairs
Lecture 1,1,0.40015681597314245,49
Lecture 2,2,0.5188540626040625,76
Lecture 3,3,0.4710335497835499,80
Lecture 4,4,0.4877731496375565,59
Lecture 5,5,0.41814058956916106,7
Lecture 6,6,0.476098901098901,13
Lecture 7,7,0.578950937950938,25
Lecture 8,8,0.46572557876905707,23
Lecture 9,9,0.5707757296466975,31
Lecture 10,10,0.5524558774558774,13
Lecture 11,11,0.494368456602499,47
Lecture 12,12,0.4324625857234552,23
Lecture 13,13,0.494079794079794,37
Lecture 14,14,0.539678416821274,70
Lecture 15,15,0.534114357864358,40
Lecture 16,16,0.5250417117604618,32
Lecture 17,17,0.49177384546237,61
Lecture 18,18,0.516553515928516,40
Lecture 19,19,0.45780608280608287,13
Lecture 20,20,0.4080365814740815,16
Lecture 21,21,0.433030303030303,5
Lecture 22,22,0.33137539543789546,16
Lecture 23,23,0.42002442002442003,13
